"State","District","ROWID","Country","State.LGD.Code","District.LGD.Code","Ground.Water.Station.Name","Ground.Water.Station.Latitude","Ground.Water.Station.Longitude","SourceYear","Amount.of.Arsenic","Amount.of.carbonate","Amount.of.Calcium","Amount.of.Chloride","Amount.of.Electrical.Conductivity","Amount.of.Fluorine","Amount.of.Iron","Amount.of.Hydrogencarbonate","Amount.of.Potassium","Amount.of.Magnesium","Amount.of.Nitrate","Amount.of.Sodium","Percentage.of.Sodium","Amount.of.Phosphate.Ion","Amount.of.Residual.Sodium.Carbonate","Amount.of.Sodium.absorption.ratio","Amount.of.Sulfate","Amount.of.Silicon.dioxide","Amount.of.Hardness.Total","Amount.of.Alkalinity.Total","Amount.of.Total.Dissolved.Solids","Amount.of.Potential.of.Hydrogen","YearCode","Year","district_year","sdp","Gini","NO. OF SEATS","Winning_Margin","sdp_numeric","Deaths","Factories","States","No..of.Political.Parties","Politicalparties_seat","sdp_2","sdp_3","Gini_state"
"CHHATTISGARH","Korba",442914,"India",22,383,"Pasan","22.84166667","82.2",2018,0,0,56,57,526,0.7,0,232,1.1,12,0,45,NA,NA,0,0,5.7,26,190,0,0,7.03,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",427771,"India",22,383,"Bandhakhar","22.35138889","82.43333333",2018,0,0,12,35,228,0.78,0,73,7.2,9.6,0,21,NA,NA,0,0,NA,12,70,0,0,7.51,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",442058,"India",22,383,"Nonbirra-4","0","0",2018,0,0,28,21,323,0,0,159,25,12,0,12,NA,NA,0,0,0,6,120,0,0,7.15,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",442115,"India",22,383,"Numera","22.35638889","82.42805556",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",445261,"India",22,383,"Salihabhata","22.27083333","82.83472222",2018,0,0,16,7,120,NA,0,67,2.1,4.8,0,2.1,NA,NA,0,0,NA,14,60,0,0,7.01,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",444478,"India",22,383,"Ramtarai-I","0","0",2018,0,0,80,92,783,0.1,0,317,2.2,34,0,31,NA,NA,0,0,0,23,340,0,0,7.1,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",444810,"India",22,383,"Rewa","22.82138889","82.38694444",2018,0,0,24,106,466,NA,0,73,11.2,7.2,0,69,NA,NA,0,0,24,20,90,0,0,7.01,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",444830,"India",22,383,"Rishdi","22.37333333","82.77027778",2018,0,0,68,99,885,0.21,0,232,49,19,0,64,NA,NA,0,0,49,10,250,0,0,7.34,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Korba",442672,"India",22,383,"Pandripani-D","0","0",2018,0,0,72,71,730,0.92,0,256,2.2,29,0,31,NA,NA,0,0,26,26,300,0,0,7.06,2018,"Calendar Year (Jan - Dec), 2018","Korba2018",209211,0.34,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
"CHHATTISGARH","Raigarh",426944,"India",22,386,"Auranar","22.1525","83.16944444",2018,0,NA,6,7,40,0,0,18,0.2,2.4,0,0.8,NA,0.15,0,0,1.4,5.5,25,0,0,6.9,2018,"Calendar Year (Jan - Dec), 2018","Raigarh2018",209211,0.35,11,10.85858586,209211,188211,2809,"Chhattisgarh",56,5.09090909090909,43769242521,9157006997060932,0.342
